name,code,content
西藏板块,700001,"['000752', '000762', '002287', '002827', '600211', '600326', '600338', '600749', '600773']"
稀土永磁,700002,"['600111', '000831', '600392', '600259', '600549']"
苹果概念,700004,"['002456', '300433', '603595', '002241', '000049', '300207', '300136']"
煤炭,700005,"['601666', '600546', '601101', '000983', '600971', '600123', '600792', '000933']"
钢铁,700006,"['002423', '600507', '600117', '600782']"
水泥,700007,"['000672', '600801', '600720', '000875']"
石墨烯,700008,"['600516', '603133', '601011']"
机场,700010,"['000089', '600004', '600009', '600897']"
文化电影,700012,"['300133', '300027', '300251', '000802']"
雄安新区,700013,"['000401', '002457', '000615', '600722', '600477']"
次新银行,700014,"['002807', '002839', '600919']"
血液概念,700015,"['300294', '002252', '000403']"
白酒,700017,"['600199', '000799', '600519']"
猪肉涨价,700016,"['002714', '002477', '002548', '002124', '603609', '002157', '002458', '300498']"
养老金,700018,"['600723', '002242', '300224']"
新材概念,700019,"['600206', '300586', '300428', '603937']"
租售同权,700021,"['002285', '000560', '002377']"
